scenario,product,variable,1,2,3,4
1,bands,Make,5990.0,6000.0,1400.0,2000.0
1,bands,Sell,6000.0,6000.0,1400.0,2000.0
1,coils,Make,1407.0,1400.0,3500.0,4200.0
1,coils,Sell,306.9999999999998,2500.0,3500.0,4200.0
2,bands,Make,2285.714285714286,4428.571428571428,1400.0,2000.0
2,bands,Sell,2295.714285714286,4428.571428571428,1400.0,2000.0
2,coils,Make,4000.0,2500.0,3500.0,4200.0
2,coils,Sell,4000.0,2500.0,3500.0,4200.0
3,bands,Make,0.0,6000.0,4000.0,6500.0
3,bands,Sell,10.0,6000.0,4000.0,6500.0
3,coils,Make,5600.0,1400.0,1680.0,1050.0
3,coils,Sell,4000.0,2500.0,2180.0,1050.0
